,"id_str","label","raw_text","translated_from"
0,"1237167654785503232","Refute",,
1,"1240963597863452672","Comment","Live: Ministerpräsident Söder zu neuen Corona-Maßnahmen in Bayern. Covid19DE Coronavirus ",
2,"1252566270270214144","Unrelated",,
3,"1239191746426425344","Comment",,
4,"1242190498678308864","Comment",,
5,"1241281864045924352","Unrelated",,
6,"1240564576397262848","Refute",,
7,"1241031972501303296","Unrelated",,
8,"1240965866541416448","Comment","Bayern Ausgangsbeschränkung 
Ab Freitag 00:00 für 14 Tage - Arbeit: weiter ja
- Logopäden, Therapeuten,... gr geschlossen
- Altenheime/Kkh weitestgehen kein Besuch
- Friseure zu
- Bau- Gartenmärkte zu
- Gastronomie zu!!! (ausser togo/drivein/) corona covid19 covid19de",
9,"1252530769211375616","Unrelated","Welche Corona-Regeln in welchem Bundesland gelten <USERNAME>",
10,"1241727407305998336","Unrelated","Engel schlafen nicht!!!","Portuguese"
11,"1252504843371057152","Comment",,
12,"1237466066135199744","Refute",,
13,"1240627341728059392","Refute",,
14,"1243905316900745216","Unrelated",,
15,"1234857888646123520","Unrelated",,
16,"1251986917639536640","Unrelated",,
17,"1240188691282137088","Comment"," account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more.",
18,"1239997249901518848","Comment",,
19,"1240211543872200704","Unrelated",,
20,"1241487880972832768","Refute",,
21,"1242067261613105152","Unrelated","Eigendlich sollte der Artikel Gangbang gegen Corona heissen, doch dann kam das Kontaktverbot... ",
22,"1243569345076367360","Unrelated",,
23,"1240009625522647040","Refute",,
24,"1242180403961700352","Support",,
25,"1247994091209732096","Unrelated",,
26,"1234245985842466816","Unrelated",,
27,"1240205671565611008","Refute",,
28,"1233332404338614272","Comment","Coronavirus: Sportanlässe, die von der Zuschauersperre betroffen sind ",
29,"1241330015373004800","Support","Die Stadt Wien hat ein Video für die kleinsten unter uns erstellt, welches hervorragend den coronavirus erklärt und warum es wichtig ist, dass wir jetzt alle zuhause bleiben. Wir sind weiterhin für Euch im EinsatzfürBadBrückenau
StayAtHome franken
",
30,"1254674469165170688","Refute",,
31,"1223358033021095936","Comment","Ich glaube, sie hat mich blockiert, weil
 ich keine Harrie mehr bin."," English"
32,"1243858657307242496","Support","Leute. Wenn ihr aufs tempelhoferfeld geht, haltet Abstand. Kein Grillen, keine Gruppen. Noch besser: zu Hause bleiben.
wirbleibenzuhause StayAtHome wirhabenplatz ",
33,"1241192569993867264","Comment",,
34,"1242098107510394880","Refute",,
35,"1241844426885844992","Unrelated",".<USERNAME> : Keiner von uns kann sagen, was das richtige ist. Das müssen wir miteinander und mit Experten erarbeiten und dann aber auch den Mut haben zu entscheiden. Kontaktverbot Söder Laschet Scholz covid_19DE illner",
36,"1241014935498481664","Comment",,
37,"1241580002593968128","Unrelated",,
38,"1240641463542788096","Unrelated","Er hat es sicherlich nur gut gemeint! COVID2019de coronavirus
Ein Grund mehr, zuhause zu bleiben... wirbleibenzuhause ",
39,"1240513307594969088","Support","Nicht kündigen, Kurzarbeit corona beantragen! Dass es beste Regelungen gibt, darauf drängen und schauen die Interessensvertretungen der ArbeitnehmerInnen mit der Kompetenz ihrer MitarbeiterInnen! <USERNAME> <USERNAME> ",
40,"1222890810389061632","Unrelated",,
41,"1240024082273402880","Unrelated","nudeln hamsterkäufe lustig spass fun lachen witzig shirt spruch krank virus corona pandemi epidemie quarantäne panik panikmache ausverkauft spaß @ Rheinland-Pfalz, Germany ",
42,"1243637263180931072","Unrelated"," dass das Krisenmanagement diese falsche Botschaft gegeben habe. Wer davon ausgeht,dass Alte und Kranke sowieso an Corona sterben,hat etwas falsch verstanden. Um das zu verhindern,gibt es doch die ganzen Maßnahmen.",
43,"1240303291399057408","Unrelated",,
44,"1248626597940178944","Comment","Berater der Bundesregierung machen laut einem Pressebericht die Aufhebung der Kontaktbeschränkungen vom Einsatz von Atemschutzmasken abhängig. Coronavirusde Exitstrategie",
45,"1248601590358917120","Refute",,
46,"1238119970543992832","Unrelated",,
47,"1240024818516398080","Unrelated",,
48,"1240606858353823744","Unrelated",,
49,"1244722291596025856","Refute","Unter Corona-Vorwand: Orban im Eiltempo Richtung Faschismus. Ungarn heute: Ausgangsperre, Parlament fakt. aufgelöst, keine Wahlen, Medienmaulkorb, Militär patrouilliert. fckafd gratuliert. CDU/CSU stehen bisher weiter treu zu ihrem Fraktions-Brudi:  ",
50,"1238509383149027328","Unrelated",,
51,"1240746995356180480","Comment",,
52,"1240140942021181440","Unrelated",,
53,"1254003035476557824","Unrelated","Ein paar Tipps für die Corona-Debatte 1) Es ist IMMER legitim zu fragen, ob bestimmte Einschränkungen noch notwendig sind
2) Die Antwort darauf kann leider noch ziemlich oft ""ja, leider"" sein
3) Wer bestimmte Einschränkungen infrage stellt, weil er sie für unverhältnismäßig",
54,"1240963831792369664","Refute","Auf geht's in die zweite Runde huhu ☺
<USERNAME> <USERNAME> <USERNAME> (que 3 oupssss)"," French"
55,"1244653931973787648","Comment",,
56,"1243573879882371072","Unrelated",,
57,"1241315860028981248","Unrelated","Corona-Quarantäne Tagebuch von <USERNAME> kennt fast jeder. Abr weisst man, dass er auch Buchautor ist? ""Ich halte nicht die Klappe. Mein Leben als Überzeugungstäter in der Chefetage"" habe ich mal für NGFH besprochen. Leseempfehlung ",
58,"1243567307961622528","Unrelated",,
59,"1241784945061892096","Unrelated",,
60,"1241749941841690624","Comment","Coronavirus: Bund und Länder einigen sich auf Kontaktverbot !!! ",
61,"1255259220880044032","Refute","Tom Beck hat seine Corona-Quarantäne gebrochen?! Ähm... themaskedsinger",
62,"1247747077561389056","Comment",,
63,"1240336269827284992","Unrelated","Niedersachsen will die Digitalisierung im Bundesland vorantreiben. Die Corona-Krise und die vielen Homeoffice-Lösungen hätten die Notwendigkeit deutlich gemacht, sagt Niedersachsens Wirtschaftsminister Bernd Althusmann (CDU). ",
64,"1239217890907357184","Refute",,
65,"1240205836418453504","Unrelated","""Gut im Griff "" ist das neue "" ich spreche ihm/ihr mein vollstes Vertrauen aus"" 🙃
coronavirus FlattenTheCurve donalphonso ",
66,"1235279350364286976","Unrelated","Sicherheitsmaßnahmen und Informationen zum Coronavirus ",
67,"1238536882969088000","Unrelated",,
68,"1246321978967052288","Refute",,
69,"1250156528470044672","Unrelated",,
70,"1240042271879368704","Support",,
71,"1236054204860555264","Support"," <USERNAME> Ob Influenza oder Corona, einfach mal verantwortungsvoll und nicht egoistisch die einfachen Regeln der Hygiene beachten. Mehr nicht. Wo ist das Problem?",
72,"1238093789669003264","Comment","Coronavirus: Sonntagsfahrverbot soll deutschlandweit aufgehoben werden Unterwegs",
73,"1242933198255947776","Unrelated",,
74,"1238500529006940160","Comment",,
75,"1240700061069324288","Comment","""Wir haben ein exponentielles Wachstum. Wir sind am Anfang einer Epidemie, die noch viele Wochen und Monate unterwegs sein wird"", sagt RKI-Chef Lothar Wieler. Er appelliert, soziale Kontakte zu reduzieren, um das Wachstum zu verlangsamen. Coronavirus Covid19 wirvsvirus ",
76,"1239629038337110016","Refute",,
77,"1240668223009435648","Unrelated",,
78,"1240658324904968192","Comment",,
79,"1243235254942474240","Unrelated",,
80,"1233470676100665344","Comment","Coronavirus: Swiss streicht Italien-Flüge ++ Tottenham-Star Son in Quarantäne ++ Uni Bern sagt Vorlesungen ab ",
81,"1236647951247826944","Unrelated","Coronavirus: Spahn rechnet mit mehr Einschränkungen |                   Wie war das nochmal mit der Karnevalssitzung? ",
82,"1243064648900980736","Comment",,
83,"1248161758654730240","Unrelated",,
84,"1240966449948172288","Unrelated",,
85,"1255782079905828864","Comment",,
86,"1238019912242728960","Unrelated","Anscheinend will die Bundesregierung ausnutzen, dass alle öffentliche Aufmerksamkeit derzeit auf Corona gerichtet ist, um den Solardeckel nicht wie angekündigt abzuschaffen und unsinnige Abstandsregeln für Windkraft doch einzuführen. Skandal! Klimakrise
<USERNAME>",
87,"1240653553749942272","Comment","<USERNAME> Muss nächste Saison in
Parkhead sein"," English"
88,"1240945124949012480","Unrelated",,
89,"1241302645685530624","Comment","Erst wenn die letzte Coronaparty vergangen, das letzte Klopapier gekauft, der letzte Bürgermeister Ausgangsverbot verhängt hat, werdet ihr merken, dass Corona noch viel schlimmer ist.",
90,"1242534384630194176","Unrelated",,
91,"1233229528077623296","Unrelated","Danke Herr Spahn, das sie den Karneval nicht verboten haben. Das hat dem Virus gut getan! Coronavirus in Deutschland: Spahn sieht Beginn einer Epidemie ",
92,"1238369683826450432","Refute","Jeder Tag in Quarantäne oder im Lickdown ist ein Tag voller Angst. Nicht aufgrund Corona, sondern aufgrund der nächsten Rechnung Corona mein Arsch. Wir bekommen wohl noch ne Wirtschaftskrise im Anschluss und die wird viel mehr Leid bringen als der Virus. Befürchte ich jedenfalls",
93,"1237446983608160256","Comment"," Hallo, wie bereitet sich eigentl. die <USERNAME> auf <USERNAME> vor? Aktuell sind nicht einmal Desinfektionsmittel oder dgl. an den Eingängen, Toiletten, Büros sichtbar. Auch werden wohl Mitarbeiter telef. in Quarantäne versetzt, nach Verdachtsfall🤔",
94,"1241291918765690880","Unrelated","An dieses Zitat dachte ich auch schon. ""Stell Dir vor, es ist Krieg und keiner geht hin."" Schön wär's. 
""Komisch"", dass es dafür keine Ausgangssperre gibt.(?) 😏
wirbleibenzuhause
Covid_19
PS: Wo ist eigentlich gerade Krieg? Wie lange schon, Wie lange noch? Wer macht da mit? ",
95,"1242455896287932416","Comment","Corona-Krise führt zu Schulschließungen in mehr als 130 Ländern / Save the Children fordert spezielle Angebote für benachteiligte Kinder via <USERNAME> ots gesundheit news",
